Date,Open,High,Low,Close,Volume
2006-11-12,3.8286,4.2171,3.8214,4.1971,53365725
2006-11-19,4.22,4.2843,4.12,4.1314,27203120
2006-11-26,4.1314,4.2457,4.1143,4.1943,10852254
2006-12-03,4.1729,4.2857,4.0743,4.2086,29457274
2006-12-10,4.2,4.2071,3.8971,3.95,26421871
2006-12-17,4.0371,4.0957,3.8271,3.9429,28252385
2006-12-24,3.9429,3.9614,3.7343,3.7429,28334432
2006-12-31,3.7343,3.8886,3.6929,3.6943,23670101
2007-01-07,3.7143,3.8286,3.4929,3.5443,47640831
2007-01-14,3.5457,3.5557,3.2414,3.2443,71712956
2007-01-21,3.4643,3.4857,3.1671,3.2229,68801089
2007-01-28,3.2643,3.4643,3.0429,3.3071,162545278
2007-02-04,3.18,3.3043,3.1514,3.2629,58578569
2007-02-11,3.2857,3.4043,3.1657,3.3014,60028500
2007-02-18,3.29,3.3529,3.1714,3.2671,67076016
2007-02-25,3.2786,3.4114,3.2757,3.3614,94262945
2007-03-04,3.3871,3.4029,3.1557,3.1843,48135556
2007-03-11,3.1443,3.1657,2.9814,3.0086,52869355
2007-03-18,3,3.05,2.9,3.0029,37418535
2007-03-25,3.0157,3.3971,3.0114,3.39,53575921
2007-04-01,3.3929,3.4071,3.2686,3.3129,34138601
2007-04-08,3.3286,3.5186,3.3129,3.4571,35794381
2007-04-15,3.4614,3.57,3.4514,3.5143,28284893
2007-04-22,3.5286,3.5429,2.9829,3.1571,113155238
2007-04-29,3.1471,3.1829,3.0514,3.1729,46530393
2007-05-06,3.1714,3.2771,3.1171,3.1657,57829408
2007-05-13,3.1657,3.2029,3.0914,3.1514,25887393
2007-05-20,3.1443,3.1571,3.0314,3.1343,23846774
2007-05-27,3.13,3.35,3.1229,3.2171,38357074
2007-06-03,3.1514,3.1829,3.0486,3.0814,33968627
2007-06-10,3.0557,3.7129,3.03,3.3471,118073634
2007-06-17,3.1786,3.2357,2.7214,2.8157,119128100
2007-06-24,2.9171,2.9214,2.7871,2.8114,44039632
2007-07-01,2.8214,3.0371,2.7657,2.77,60527481
2007-07-08,2.7857,2.9257,2.7671,2.9129,25608282
2007-07-15,2.9286,2.9771,2.8414,2.8771,32785907
2007-07-22,2.8914,2.9014,2.8,2.8043,30988762
2007-07-29,2.5771,2.5843,2.2314,2.4429,199227581
2007-08-05,2.4443,2.5357,2.3629,2.3671,55429759
2007-08-12,2.46,2.6386,2.3571,2.5557,63598864
2007-08-19,2.5714,2.5857,2.3829,2.4629,38509674
2007-08-26,2.4986,2.5457,2.3986,2.5429,22823626
2007-09-02,2.5343,2.55,2.4171,2.5029,21702506
2007-09-09,2.5686,2.6743,2.5014,2.5771,29558683
2007-09-16,2.5729,2.5743,2.4386,2.5314,23780568
2007-09-23,2.6214,2.8214,2.5986,2.7414,48561555
2007-09-30,2.7429,3.1571,2.7286,2.9643,60859106
2007-10-07,2.9571,3.1743,2.9414,3.1429,29109185
2007-10-14,3.11,3.4314,3.0857,3.2857,36541246
2007-10-21,3.4143,3.5,3.2286,3.32,41258826
2007-10-28,3.25,3.7429,3.1571,3.6029,93435839
2007-11-04,3.6771,3.8114,3.6429,3.7514,49955066
2007-11-11,3.7214,3.93,3.5186,3.6071,47479467
2007-11-18,3.5929,3.6571,3.25,3.4,41383755
2007-11-25,3.3671,3.4286,3.0371,3.1071,34587539
2007-12-02,3.1071,3.42,3.0614,3.3,38003532
2007-12-09,3.4286,3.5429,3.2929,3.3671,37864085
2007-12-16,3.37,3.42,3.2157,3.36,31250751
2007-12-23,3.33,4.1629,3.2814,4.0143,62947850
2007-12-30,4.0143,4.1457,3.7557,3.8471,29397578
2008-01-06,3.85,4.0429,3.4786,3.5157,61490961
2008-01-13,3.53,3.5714,3.0971,3.3443,64742755
2008-01-20,3.4086,3.4929,2.9586,3.1214,96364198
2008-01-27,3.0329,3.4,2.9071,3.11,102337228
2008-02-03,3.1629,3.6571,3.08,3.6271,63885619
2008-02-10,3.6271,3.8571,3.5443,3.84,63552286
2008-02-17,3.8514,3.9071,3.7229,3.8,37129022
2008-02-24,3.7614,3.9986,3.6829,3.9714,35505981
2008-03-02,3.9586,4.9014,3.9571,4.5114,116633720
2008-03-09,4.5357,4.6586,4.3071,4.4657,53718168
2008-03-16,4.5714,4.9286,4.5,4.7514,66202647
2008-03-23,4.6871,5.4286,4.6186,5.1771,58335375
2008-03-30,5.3343,5.6643,5.02,5.0843,61825645
2008-04-06,5.1671,5.4486,4.84,5.1729,56168210
2008-04-13,5.2314,5.2986,5.0157,5.0729,33209603
2008-04-20,5.1429,5.8429,5.0643,5.5086,66719660
2008-04-27,5.5086,5.8043,4.2071,4.8514,139541080
2008-05-04,4.74,4.7929,4.3343,4.4429,53571707
2008-05-11,4.4643,4.5257,4.2471,4.3886,34919073
2008-05-18,4.3857,4.56,4.2229,4.5229,54732293
2008-05-25,4.5057,4.9071,4.3029,4.4586,72425976
2008-06-01,4.46,4.6286,4.2586,4.3371,43376858
2008-06-08,4.3343,4.8571,4.3343,4.5457,41437914
2008-06-15,4.5457,4.61,4.3143,4.6029,25591489
2008-06-22,4.5714,4.6086,4.2529,4.4857,29790572
2008-06-29,4.5,4.5014,3.7586,3.82,49696080
2008-07-06,3.7871,3.97,3.72,3.8971,49785183
2008-07-13,3.9286,4.15,3.77,3.8871,49146790
2008-07-20,3.9014,4.0457,3.8429,3.8714,58403142
2008-07-27,3.8614,4.1157,3.81,3.9786,76426882
2008-08-03,4,4.4814,3.9729,4.1743,73901289
2008-08-10,4.2371,4.5171,4.2143,4.4357,47189912
2008-08-17,4.4057,4.6529,4.3243,4.4657,55521074
2008-08-24,4.4757,4.4957,4.2714,4.3786,29608586
2008-08-31,4.3486,4.4971,4.2629,4.4057,35275884
2008-09-07,4.4529,4.5714,4.0757,4.2371,38464944
2008-09-14,4.31,4.4014,3.94,4.2071,45040975
2008-09-21,4.1686,4.8529,3.9243,4.5629,62042435
2008-09-28,4.4857,4.7286,4.3643,4.6957,28852460
2008-10-05,4.6171,4.7014,4.0443,4.1386,35476602
2008-10-12,3.7143,3.8386,3.0714,3.47,76555003
2008-10-19,3.6086,3.7629,3.0986,3.3286,39509204
2008-10-26,3.4343,3.5271,2.6943,2.7071,60072131
2008-11-02,2.7129,3.6386,2.5571,3.5371,54574415
2008-11-09,3.5029,3.5443,3.0371,3.1229,32962153
2008-11-16,3.1714,3.4986,2.9343,3.1471,34426273
2008-11-23,3.1557,3.1571,2.6043,2.8557,44401609
2008-11-30,2.8729,3.3071,2.8457,3.2829,31834320
2008-12-07,3.1714,3.6314,3.1129,3.61,35941717
2008-12-14,3.5714,4.1571,3.5086,4.0729,54677896
2008-12-21,3.9286,4.25,3.9029,3.9557,41510028
2008-12-28,4.0386,4.0686,3.8314,4.0657,18909198
2009-01-04,4.1057,4.3571,3.9286,4.2671,24788120
2009-01-11,4.3271,4.7971,4.3029,4.6086,49111552
2009-01-18,4.6014,4.6457,4.1114,4.4657,37455362
2009-01-25,4.4286,4.4871,4.1886,4.3486,30315726
2009-02-01,4.3429,5.4143,4.1586,5.1629,137333532
2009-02-08,5.08,5.4214,5.08,5.2857,82619131
2009-02-15,5.2629,5.5471,4.9729,5.5057,81204543
2009-02-22,5.43,5.4914,5.1857,5.2571,54715549
2009-03-01,5.2657,5.3071,4.9857,5.1771,64327256
2009-03-08,5.0571,5.5886,4.8586,5.4543,102195576
2009-03-15,5.4586,5.7143,5.2143,5.6243,62910617
2009-03-22,5.6686,6.0643,5.4443,5.95,65514295
2009-03-29,5.95,6.3457,5.63,5.6686,71028391
2009-04-05,5.6443,6.2829,5.5786,6.1529,60807439
2009-04-12,6.1414,6.7129,6.1,6.7071,41131132
2009-04-19,6.7071,7.1771,6.5171,6.9757,73339833
2009-04-26,6.9686,7.1014,6.0114,6.1043,102742241
2009-05-03,6.2771,6.8043,6.2314,6.3543,83364890
2009-05-10,6.36,6.5471,5.3986,5.7457,81389840
2009-05-17,5.6486,5.8057,5.1786,5.5,77366912
2009-05-24,5.57,5.9714,5.43,5.5429,55945799
2009-05-31,5.5143,5.7729,5.3829,5.6314,39207630
2009-06-07,5.7129,5.9857,5.5214,5.5986,46433191
2009-06-14,5.55,5.6614,5.2929,5.4057,46445392
2009-06-21,5.3514,6.1157,5.2929,5.9414,75895113
2009-06-28,5.9071,6.0971,5.5743,5.7671,86253825
2009-07-05,5.7971,6.0671,5.6729,5.7029,35662578
2009-07-12,5.6414,5.7671,5.4186,5.7243,40083673
2009-07-19,5.7143,6.3757,5.6943,6.3057,70013328
2009-07-26,6.3586,6.8129,5.9843,6.0286,84450401
2009-08-02,6.0157,6.3486,5.8214,6.2771,53683980
2009-08-09,6.3357,6.4571,6.2,6.4286,40280331
2009-08-16,6.4114,6.6671,6.3114,6.3557,32793026
2009-08-23,6.2557,6.5357,6.0729,6.4429,35754208
2009-08-30,6.4743,6.55,6.1243,6.3171,37655772
2009-09-06,6.3057,6.3757,5.61,5.85,51179590
2009-09-13,5.9,6.3929,5.8286,6.0943,42256410
2009-09-20,6.0786,6.78,5.9829,6.7714,47510386
2009-09-27,6.6671,6.8857,6.5714,6.6086,27684104
2009-10-04,6.5914,6.7443,6.3286,6.3886,39718056
2009-10-11,6.4286,6.7029,6.3943,6.7014,29817830
2009-10-18,6.7114,7.2757,6.5629,6.9986,46347714
2009-10-25,7.1214,8.2143,6.7943,7.8414,79778860
2009-11-01,7.9657,8.1071,7.5714,7.6357,50955485
2009-11-08,7.5971,8.1186,7.5143,7.98,49770371
2009-11-15,7.9486,8.5557,7.9286,8.4757,42863562
2009-11-22,8.5086,8.8071,8.3314,8.5671,36164506
2009-11-29,8.6429,8.7114,7.8157,8.2643,28621481
2009-12-06,8.2786,8.5429,7.8714,8.0329,52126158
2009-12-13,8.14,8.1643,7.8229,7.9571,33319181
2009-12-20,8.0557,8.2143,7.5714,7.61,47940431
2009-12-27,7.6043,8.2414,7.5786,8.1271,32077990
2010-01-03,8.1029,8.2857,7.8643,7.87,20773207
2010-01-10,7.9314,7.9614,7.1971,7.6143,82423978
2010-01-17,7.66,7.7543,7.2329,7.2786,58250577
2010-01-24,7.25,7.4929,7.2143,7.27,33034582
2010-01-31,7.2929,9.2243,6.9314,8.8929,150480547
2010-02-07,8.83,8.9829,8.4686,8.6914,60049157
2010-02-14,8.7057,9.07,8.5714,9.0257,39580205
2010-02-21,9.0886,9.581,9.0614,9.521,35737933
2010-02-28,9.577,9.614,9.0143,9.4357,79694048
2010-03-07,9.4314,10,9.3743,9.664,63056553
2010-03-14,9.713,10.227,9.689,9.997,45819844
2010-03-21,9.997,10.249,9.88,10.064,33407626
2010-03-28,10.05,10.714,10.007,10.614,29374674
2010-04-04,10.7,10.814,10.517,10.714,32555362
2010-04-11,10.797,11.996,10.796,11.774,94822259
2010-04-18,11.757,12.729,11.65,12.187,67745706
2010-04-25,12.179,14.641,11.824,14.247,170534385
2010-05-02,14.356,15.671,13.971,14.129,135403884
2010-05-09,14.28,14.83,12.857,13.013,94481338
2010-05-16,13.747,17.071,13.573,14.366,175489237
2010-05-23,14.496,15.39,12.973,14.21,141002232
2010-05-30,14.483,16.277,13.857,15.879,123107103
2010-06-06,15.609,16.386,14.97,15.683,74401138
2010-06-13,15.686,17.364,15.321,17.241,143565835
2010-06-20,17.629,18.28,17.146,18.06,133226646
2010-06-27,18.006,18.1,16.071,16.854,100385306
2010-07-04,16.953,17.126,14.753,15.297,92086841
2010-07-11,15.629,17.536,15.184,16.79,83287239
2010-07-18,16.85,17.714,16.729,16.913,74442921
2010-07-25,16.824,17.657,14.536,15.386,193058614
2010-08-01,15.501,15.57,13.619,14.65,156425024
2010-08-08,14.86,16.964,14.104,16.903,151727695
2010-08-15,16.857,19.196,16.171,18.894,303113804
2010-08-22,18.806,20.129,17.656,18.566,232743840
2010-08-29,18.643,18.926,17.093,18.014,132757646
2010-09-05,17.893,20.357,17.401,19.783,172101832
2010-09-12,19.701,21.391,19.657,20.88,117473363
2010-09-19,21.344,21.421,20.003,20.066,118306195
2010-09-26,20.286,23.874,20.003,23.173,276522974
2010-10-03,22.929,24.914,21.973,22.094,263614778
2010-10-10,21.86,22.859,21.15,21.377,188726370
2010-10-17,21.534,22.786,21.461,22.246,122330768
2010-10-24,22.344,24.991,21.05,24.014,268071258
2010-10-31,24.176,26.391,23.58,24.796,231208411
2010-11-07,24.85,24.863,23.671,24.014,162906842
2010-11-14,23.833,25.527,23.609,24.714,163619036
2010-11-21,24.561,24.791,23.367,24.72,118387598
2010-11-28,25.867,27.497,25.857,27.414,168676242
2010-12-05,27.716,29.891,26.371,26.493,328779612
2010-12-12,26.701,28.486,25.913,27.804,262618881
2010-12-19,27.507,27.516,25.08,25.717,241379243
2010-12-26,25.829,27.109,25.22,26.369,123743760
2011-01-02,25.736,26.357,25.076,25.1,107450427
2011-01-09,25,26.414,24.786,25.614,168766241
2011-01-16,25.661,27.607,25.597,27.354,145939381
2011-01-23,27.353,27.834,25.9,26.013,101517577
2011-01-30,25.713,31.143,25.153,31.14,295107092
2011-02-06,30.443,31.571,29.75,31.439,166877830
2011-02-13,31.827,33.086,30.877,33.01,138251519
2011-02-20,33.669,35.364,33.056,33.644,202116012
2011-02-27,32.214,32.773,29.341,30.349,185428565
2011-03-06,30.554,30.616,28.621,30.103,192811913
2011-03-13,30.671,30.699,26.984,29.22,261241484
2011-03-20,29.033,31.91,28.403,29.914,233583350
2011-03-27,30.25,33.303,29.65,32.859,212003470
2011-04-03,33.357,34.92,33.334,34.584,167847848
2011-04-10,34.981,35.554,33.004,33.551,171371893
2011-04-17,33.247,34.35,32.059,33.641,160118315
2011-04-24,33.144,36.046,32.574,36.031,124332719
2011-05-01,36.387,36.426,32.164,33.239,289511313
2011-05-08,34.037,34.267,32.186,32.781,151088140
2011-05-15,33.114,35.66,33.051,35.217,160811665
2011-05-22,35.143,35.27,33.016,35.129,149089913
2011-05-29,34.714,37.983,34.286,37.787,183609790
2011-06-05,38.179,39.463,37.731,39.1,140342419
2011-06-12,39.053,39.671,36.831,36.946,162281931
2011-06-19,37.111,37.571,34.894,35.096,134768011
2011-06-26,34.551,37.264,34.303,36.709,133965622
2011-07-03,36.414,38.391,35.949,38.284,103795902
2011-07-10,39.429,42.479,39.387,42.163,143019639
2011-07-17,42.119,43.541,40.231,40.99,191848797
2011-07-24,40.351,41.33,38.65,39.511,114348276
2011-07-31,40.081,40.786,35.923,37.999,239394204
2011-08-07,38.36,38.5,33.776,34.444,145233613
2011-08-14,32.85,35.407,31.643,34.857,135874718
2011-08-21,35.096,35.254,29.286,29.316,131659675
2011-08-28,30.339,31.959,29.05,31.699,145548431
